,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicatessen,Total Expenditures,ICA1,ICA2,ICA3,ICA4,ICA5,ICA6,0.575178417,0.776908552,0.74067988,0.388435912,0.633881832,0.496848605,<- originals
137,3087,8080,8282,661,721,36,20867,-1004.864521,6192.463571,8148.247369,4003.939513,18928.25551,104.6099631,,,,,,,
379,4048,5164,10391,130,813,179,20725,-465.120171,17105.77543,4408.280283,4574.612088,21362.71358,217.6428772,,,,,,,
17,5876,6157,2933,839,370,4478,20653,57.67881983,10314.39487,15399.85431,7112.215308,5701.858332,4987.866729,,,,,,,
231,2344,10678,3828,1439,1566,490,20345,-1168.267825,-7353.045214,15084.7318,3766.978462,7330.030429,732.6816369,,,,,,,
321,9155,1897,5167,2714,228,1113,20274,1779.272556,19639.14759,9639.872058,2991.716916,11366.09332,1230.007147,,,,,,,
99,9658,2182,1909,5639,215,323,19926,2040.874829,12883.55149,13438.00781,-498.9935748,5470.060546,395.5926285,,,,,,,
76,717,3587,6532,7530,529,894,19789,-2043.949265,17523.77606,8469.669646,-3409.933977,12694.40425,979.4209484,,,,,,,
288,16260,594,1296,848,445,258,19701,5216.536834,15045.22744,13763.58722,5512.926543,3594.091716,371.7651881,,,,,,,
269,15218,258,1138,2516,333,204,19667,4711.049308,15893.51387,13713.64279,3498.733835,3386.654918,293.1800446,,,,,,,
220,14755,899,1382,1765,56,749,19606,4393.583601,15661.79218,13832.68111,4613.926549,4986.858515,884.1165015,,,,,,,
117,6990,3880,5380,1647,319,1160,19376,821.7553019,14774.56028,10316.06102,4056.126489,12374.67675,1331.959765,,,,,,,
110,11818,1648,1694,2276,169,1647,19252,3038.522733,15699.06674,14075.38093,4312.648493,4567.371969,1878.072624,,,,,,,
412,97,3605,12400,98,2970,62,19232,-1566.140695,22339.8817,1746.967851,4133.568075,15434.17641,197.7498532,,,,,,,
27,14276,803,3045,485,100,518,19227,4226.791606,17959.74339,11725.86147,5753.242955,8375.185551,631.0558684,,,,,,,
116,11173,2521,3355,1517,310,222,19098,2831.658702,13521.18932,11967.05987,4142.856737,8823.004036,326.862214,,,,,,,
398,11442,1032,582,5390,74,247,18767,2927.209185,13745.65484,14610.16007,-25.66679182,3243.126265,338.9752424,,,,,,,
8,5963,3648,6192,425,1716,750,18694,797.0849197,14667.72245,9447.922801,5114.396187,8398.935395,970.9729863,,,,,,,
58,13779,1970,1648,596,227,436,18656,4044.221524,12551.65707,13966.27414,5667.823596,5706.415839,589.5693786,,,,,,,
419,8861,3783,2223,633,1580,1521,18601,2063.581876,9462.861143,14657.74509,5907.35851,782.2159375,1857.45546,,,,,,,
115,11134,793,2988,2715,276,610,18516,2859.23527,18233.8607,11802.36098,3018.492563,7056.863177,740.1087941,,,,,,,
414,5969,1990,3417,5679,1135,290,18480,688.4358471,14998.73171,11728.58507,-958.5097502,4388.96816,420.0811799,,,,,,,
394,12377,865,3204,1398,149,452,18445,3412.438452,18059.1558,11539.3099,4502.177585,8419.480723,570.8650945,,,,,,,
410,6633,2096,4563,1389,1860,1892,18433,1144.715926,17980.17596,11209.13774,4886.381262,2920.452748,2229.048325,,,,,,,
336,13970,1511,1330,650,146,778,18385,4123.52233,13877.0238,14276.11166,5844.487295,4979.135161,963.9275078,,,,,,,
223,2790,2527,5265,5612,788,1360,18342,-915.0103765,18589.05683,9948.543235,-671.4780558,8750.967525,1555.619757,,,,,,,
185,8170,6448,1139,2181,58,247,18243,1341.156109,311.9047892,16319.56122,3357.342997,7163.812182,421.8424143,,,,,,,
342,255,5758,5923,349,4595,1328,18208,-1093.720521,7370.071742,11489.22874,5262.166924,-4135.526185,1790.436857,,,,,,,
147,9203,3373,2707,1286,1082,526,18177,2160.468796,10167.67026,13440.01236,4522.308739,4427.350016,739.1072795,,,,,,,
55,5264,3683,5005,1057,2024,1130,18163,572.4871668,13177.04703,11126.3254,4677.871838,4409.431558,1424.645249,,,,,,,
313,9784,925,2405,4447,183,297,18041,2244.449329,16793.05205,12408.809,788.9661564,6371.341533,399.3017224,,,,,,,
385,11635,922,1614,2583,192,1068,18014,3077.416165,16557.38698,13723.78623,3594.958437,4510.567724,1266.831005,,,,,,,
26,9898,961,2861,3151,242,833,17946,2302.135818,18080.20326,12103.88828,2560.987814,6789.470553,994.6300226,,,,,,,
130,7149,2428,699,6316,395,911,17898,1029.522142,11331.46649,15335.91744,-1022.187651,1960.55969,1105.803168,,,,,,,
260,9193,4885,2157,327,780,548,17890,2061.286899,5585.014406,14745.94461,5669.918084,5458.298009,783.1181818,,,,,,,
438,10290,1981,2232,1038,168,2125,17834,2403.045384,16369.80036,13813.31178,5833.705991,5620.264954,2438.563189,,,,,,,
153,3463,9250,2368,779,302,1627,17789,-844.500855,-3048.549819,16546.80301,5325.733328,8702.721806,1975.058223,,,,,,,
295,7588,1897,5234,417,2208,254,17598,1807.037947,16464.90507,9893.759788,5044.128875,4208.825956,475.384907,,,,,,,
263,2153,1115,6684,4324,2894,411,17581,-514.3568387,20984.53025,7811.823907,144.7536917,2866.56195,626.7050893,,,,,,,
119,8258,2344,2147,3896,266,635,17546,1551.960749,13172.38574,13493.19679,1529.427124,5931.632649,805.6495064,,,,,,,
329,5113,1486,4583,5127,492,739,17540,176.0815062,19376.85402,10144.60952,-271.2678666,8951.994668,882.3957319,,,,,,,
179,3157,4888,2500,4477,273,2165,17460,-911.7690861,9792.412158,14606.98057,1357.677464,6216.577028,2494.553398,,,,,,,
90,11405,596,1638,3347,69,360,17415,3009.036064,16499.60362,13290.78976,2266.153998,5440.283988,491.4496935,,,,,,,
272,514,8323,6869,529,93,1040,17368,-2184.325509,5638.473974,10357.49979,4614.700405,18380.93512,1268.742208,,,,,,,
428,3047,5970,4910,2198,850,317,17292,-734.1301336,6992.027741,11667.60638,2670.645662,10734.75711,509.5081957,,,,,,,
261,7858,1110,1094,6818,49,287,17216,1358.855578,14700.3798,14023.3224,-1976.405918,4140.904162,399.8114694,,,,,,,
247,13569,346,489,2077,44,659,17184,4011.893838,15673.85446,14767.95547,4163.045204,3241.923563,843.8957402,,,,,,,
208,1537,3748,5838,1859,3381,806,17169,-705.5824099,12805.97153,10309.19137,3256.26799,343.9631813,1149.277382,,,,,,,
222,5041,1115,2856,7496,256,375,17139,116.622957,17539.9037,11886.7705,-3066.632483,6421.144891,481.0878065,,,,,,,
15,10253,1114,3821,397,964,412,16961,2749.143614,17568.82566,11138.25164,5426.902506,6463.548649,606.8197604,,,,,,,
172,955,5479,6536,333,2840,707,16850,-1127.701763,9558.348286,10088.82426,4814.487995,5082.44886,1040.139144,,,,,,,
345,1198,2602,8335,402,3843,303,16683,-652.2406117,18300.5646,6738.741315,4386.712417,3362.223392,604.3284251,,,,,,,
161,12434,540,283,1092,3,2233,16585,3451.854619,17364.25147,15684.87642,6150.09806,1987.008116,2586.211336,,,,,,,
78,10766,1175,2067,2096,301,167,16572,2831.238505,15041.36053,13068.74106,3498.938505,5918.253908,322.4389384,,,,,,,
429,8607,1750,3580,47,84,2501,16569,1680.273379,19698.61321,12242.43535,6922.781624,8384.176062,2862.062505,,,,,,,
51,3347,4051,6996,239,1538,301,16472,-304.6723119,14378.89842,8529.923469,4755.529515,11377.95628,517.3840265,,,,,,,
191,13624,295,1381,890,43,84,16317,4121.951039,16141.80351,13529.93323,5094.329841,5665.36994,233.4531377,,,,,,,
389,9385,1530,1422,3019,227,684,16267,2161.24157,14162.09692,14150.79184,2695.829233,4563.141011,894.3254439,,,,,,,
395,9602,1316,1263,2921,841,290,16233,2450.440432,13284.9489,14263.54827,2631.445208,1873.834452,498.1065663,,,,,,,
139,5387,4979,3343,825,637,929,16100,364.0751255,8106.377999,13463.99731,4901.122134,8050.621676,1214.461408,,,,,,,
291,6022,3354,3261,2507,212,686,16042,584.5709838,12339.42427,12653.57974,2862.061652,8975.947371,899.6989294,,,,,,,
292,2838,3086,4329,3838,825,1060,15976,-726.2839518,15002.40513,11420.77552,1246.080966,7710.795071,1315.397671,,,,,,,
50,6269,1095,1980,3860,609,2162,15975,794.352701,18400.54822,13829.79461,2334.88501,2425.204126,2516.970597,,,,,,,
246,8885,2428,1777,1777,430,610,15907,1996.920649,11969.38871,14166.491,4011.477292,5029.843963,846.6834209,,,,,,,
122,12212,201,245,1991,25,860,15534,3481.676632,16062.7214,15146.07342,4278.975184,2722.502678,1102.364788,,,,,,,
236,8635,820,3047,2312,415,225,15454,1956.674732,17577.04818,11785.52466,3025.875137,7118.062816,399.7710133,,,,,,,
372,3884,3801,1641,876,397,4829,15428,-483.3853427,15095.67388,16363.22093,7177.186955,2107.839614,5484.638899,,,,,,,
64,4760,1227,3250,3724,1247,1145,15353,350.7936412,17866.80265,12135.21262,1678.112772,3057.412882,1440.939512,,,,,,,
199,9670,2280,2112,520,402,347,15331,2406.97045,12320.72707,13668.79041,5316.301571,6204.373002,575.4318981,,,,,,,
366,9561,2217,1664,1173,222,447,15284,2305.42235,12181.38383,14170.26355,4651.160101,5900.962823,676.0379596,,,,,,,
96,23,2616,8118,145,3874,217,14993,-1073.768067,17787.68576,7072.877065,4541.640524,3016.454891,555.5842018,,,,,,,
411,2126,3289,3281,1535,235,4365,14831,-1270.581814,18489.6269,13922.77122,5848.700947,6029.832252,4952.153775,,,,,,,
316,7127,1375,2201,2679,83,1059,14524,1182.95794,16553.76644,13299.51904,3038.126649,6436.034244,1327.273055,,,,,,,
388,9785,848,1172,1677,200,406,14088,2508.517247,14988.27055,14222.90068,4092.54302,4502.969443,646.1488592,,,,,,,
69,8352,2820,1293,779,656,144,14044,1944.686894,9180.253717,14940.89677,4870.241829,3946.047956,410.268569,,,,,,,
128,140,8847,3823,142,1062,3,14017,-1851.990902,-2957.631585,14374.67027,4694.331268,9691.358211,311.0495089,,,,,,,
31,2612,4339,3133,2088,820,985,13977,-723.3715513,9616.389176,13554.83882,3276.640784,6425.353793,1320.169764,,,,,,,
317,1182,3088,6114,978,821,1637,13820,-1363.711921,18467.32535,9599.288099,4551.732896,11266.80106,1994.464453,,,,,,,
235,1838,6380,2824,1218,1216,295,13771,-974.1646769,2307.863842,14685.80678,3852.765807,5696.167365,623.3999112,,,,,,,
212,7291,1012,2062,1291,240,1775,13671,1339.949805,18157.45586,13683.63989,5074.561771,5034.720664,2145.927784,,,,,,,
286,7149,2247,1242,1619,1226,128,13611,1582.057176,10199.63777,14866.38728,3830.30947,1039.941513,421.2414737,,,,,,,
399,9612,577,935,1601,469,375,13569,2541.994774,15043.73849,14475.95351,4174.664836,2844.056315,639.3180857,,,,,,,
146,7769,1936,2177,926,73,520,13401,1563.843438,14001.81019,13497.27775,4764.936966,7480.102188,783.5684889,,,,,,,
194,7107,1012,2974,806,355,1142,13396,1331.980199,18405.44306,12394.85808,5159.47684,6911.30175,1459.495779,,,,,,,
133,9434,1042,1235,436,256,396,12799,2445.061198,14408.56669,14336.95802,5463.573329,4751.379214,678.5470568,,,,,,,
21,5567,871,2010,3383,375,569,12775,682.3665086,16662.6514,13270.86878,1830.169511,4973.528705,839.5857234,,,,,,,
374,6338,2256,1668,1492,311,686,12751,993.6481702,12553.17419,14373.61697,4155.944545,5399.21041,997.3834214,,,,,,,
134,7388,1882,2174,720,47,537,12748,1424.128607,14183.88401,13514.11306,4973.264886,7617.778593,816.7990996,,,,,,,
390,3352,1181,1328,5502,311,1000,12674,-382.6000171,15846.21832,14297.83553,-451.565722,3333.872923,1304.039682,,,,,,,
66,9,1534,7417,175,3468,27,12630,-1008.616256,19586.52765,7440.85412,4408.127262,3256.759273,378.546026,,,,,,,
270,4720,1032,975,5500,197,56,12480,270.4431676,14220.51012,14343.28572,-881.5443865,3893.884796,274.7553273,,,,,,,
80,7005,829,3009,430,610,529,12412,1446.920682,17696.53651,12180.92512,5214.469743,6431.927318,826.9099487,,,,,,,
308,6987,1020,3007,416,257,656,12343,1338.196027,17708.80481,12233.71918,5288.670929,7927.499367,950.4749334,,,,,,,
79,1640,3259,3655,868,1202,1653,12277,-957.3608225,13896.04958,12879.95507,4943.970935,5074.875875,2100.939578,,,,,,,
326,4414,1610,1431,3498,387,834,12174,164.4561238,14315.9612,14409.40332,1815.691127,3899.154738,1156.978298,,,,,,,
167,2926,3195,3268,405,1680,693,12167,-186.7148753,11408.88638,13138.25097,5057.028881,3142.296953,1088.519797,,,,,,,
405,6884,1046,1167,2069,593,378,12137,1397.268972,14229.43816,14451.99909,3401.280206,2920.601795,679.8894894,,,,,,,
363,4627,997,4438,191,1335,314,11902,586.6965867,18549.94153,10589.24655,5076.744109,6346.608183,627.7278892,,,,,,,
135,6300,1289,2591,1170,199,326,11875,1039.660313,15988.41769,12729.88631,4206.787421,7655.154596,599.7555336,,,,,,,
148,5924,584,542,4052,283,434,11819,890.804972,15065.00543,14923.64979,1127.60185,2489.151653,719.5717577,,,,,,,
121,4020,3234,1498,2395,264,255,11666,-26.37224007,9270.932225,14848.17361,2691.825355,5921.743649,553.7906587,,,,,,,
169,5414,717,2155,2399,69,750,11504,610.1496345,17758.6941,13113.96573,3011.100377,6592.574984,1054.44335,,,,,,,
271,2083,5007,1563,1120,147,1550,11470,-1024.717362,6882.995396,15971.59379,4765.040664,6417.423537,1992.714559,,,,,,,
383,1821,1364,3450,4006,397,361,11399,-954.3226975,17453.33777,11656.00237,563.1444476,7952.856112,626.8769817,,,,,,,
400,4446,906,1238,3576,153,1014,11333,177.3574976,16356.29113,14398.2734,1831.047336,4129.925641,1355.195918,,,,,,,
227,4042,2204,1563,2286,263,689,11047,28.79685901,12744.218,14513.15424,3060.349097,5318.147466,1031.597969,,,,,,,
348,3428,2380,2028,1341,1184,665,11026,-2.433769096,12086.63205,14234.90746,4081.039629,2494.002779,1057.967819,,,,,,,
386,1206,3620,2857,1945,353,967,10948,-1287.801319,11492.40454,13625.26468,3289.26901,7804.275325,1342.495065,,,,,,,
224,7274,659,1499,784,70,659,10945,1514.059388,16521.49874,13961.56739,5001.537101,5705.564458,988.3454782,,,,,,,
280,3366,2884,2431,977,167,1104,10929,-327.1157258,12958.71055,13892.9336,4672.326958,7556.662307,1488.396382,,,,,,,
174,286,1208,5241,2515,153,1442,10845,-1725.170927,22486.70231,9757.25891,2616.362675,11748.29019,1794.485524,,,,,,,
204,1956,891,5226,1383,5,1328,10789,-975.8720974,23060.65515,9621.362508,3965.968686,12532.53395,1669.442341,,,,,,,
233,964,4984,3316,937,409,7,10617,-1350.331619,6963.338287,13368.66724,3815.787129,9992.585393,320.4983872,,,,,,,
391,2647,2761,2313,907,95,1827,10550,-680.0541325,14344.21057,14232.74006,5129.870589,7015.334436,2283.453295,,,,,,,
95,3,2920,6252,440,223,709,10547,-1817.086206,18150.64295,9079.437239,4448.812875,15070.4833,1025.201961,,,,,,,
290,2708,2160,2642,502,965,1522,10499,-385.7577296,15122.65083,13675.12022,5424.224217,3978.128283,1990.793882,,,,,,,
192,5509,1461,2251,547,187,409,10364,763.1042753,15132.08873,13336.7881,4922.353087,7239.590427,735.1591736,,,,,,,
359,796,5878,2109,340,232,776,10131,-1494.198933,4111.643214,15502.97985,5041.525286,8297.01657,1190.597671,,,,,,,
433,1982,3218,1493,1541,356,1449,10039,-881.5029298,11141.23196,15367.3517,4209.383043,4734.961979,1906.10135,,,,,,,
378,3225,3294,1902,282,68,1114,9885,-359.6023061,11116.35661,14774.16686,5495.870402,7304.443125,1534.123077,,,,,,,
238,7363,475,585,1112,72,216,9823,1646.933323,14909.26517,14906.81863,4438.580863,4242.563525,537.5370269,,,,,,,
392,518,4180,3600,659,122,654,9733,-1584.111327,10780.40577,12883.78323,4433.626153,10996.24057,1022.572159,,,,,,,
250,3191,1993,1799,1730,234,710,9657,-276.4900256,13698.3834,14213.09924,3605.332702,5955.423039,1084.067557,,,,,,,
375,5841,1450,1162,597,476,70,9596,1056.007422,12676.90754,14663.32509,4791.401276,4220.228776,411.1186856,,,,,,,
350,3521,1099,1997,1796,173,995,9581,-127.7852483,16839.59494,13677.44917,3700.377167,5988.068819,1381.896679,,,,,,,
206,6373,780,950,878,288,285,9554,1257.924323,14614.20334,14669.9587,4646.37568,4127.065009,630.707743,,,,,,,
186,3009,521,854,3470,949,727,9530,-134.5036333,15657.08693,14868.00314,1720.553064,150.0338533,1127.066777,,,,,,,
320,1774,3696,2280,514,275,834,9373,-937.966676,10099.69011,14435.02129,4923.2103,7512.174984,1248.444079,,,,,,,
168,5809,735,803,1393,79,429,9248,953.9536136,14992.76118,14829.87381,4099.236363,4530.582185,781.2030968,,,,,,,
151,1289,3328,2022,531,255,1774,9199,-1185.809286,12210.20209,14918.08292,5444.611034,6172.89417,2277.157697,,,,,,,
228,1869,577,572,950,4762,203,8933,439.4908238,10686.29031,16001.94538,4397.952049,-15897.87699,794.4924948,,,,,,,
344,3043,1172,1763,2234,217,379,8808,-265.6889339,15323.08955,13817.44531,2810.523868,5855.136152,729.5459791,,,,,,,
369,6211,337,683,1089,41,296,8657,1181.885511,15620.56803,14797.41945,4400.320086,4498.579697,647.4610134,,,,,,,
219,4155,367,1390,2306,86,130,8434,262.4907882,16526.01935,13847.30205,2686.371321,5596.82619,455.4798852,,,,,,,
361,4734,607,864,1206,159,405,7975,565.8303013,15337.52318,14770.456,4200.00388,4362.841738,787.7588671,,,,,,,
362,2121,1601,2453,560,179,712,7626,-641.3469464,15710.53185,13357.66964,4778.70474,7586.017553,1126.838854,,,,,,,
439,2787,1698,2510,65,477,52,7589,-224.9608093,14149.02175,13191.5709,5012.414493,7093.240176,427.0051384,,,,,,,
364,2615,873,1524,1103,514,468,7097,-266.276652,15525.22258,14198.82292,4140.358195,4204.592031,890.513056,,,,,,,
274,894,1703,1841,744,759,1153,7094,-1037.306673,14767.54757,14445.71059,4811.627632,3577.089343,1658.477868,,,,,,,
34,1502,1979,2262,425,483,395,7046,-802.6853025,13666.34427,13740.85633,4722.854459,6379.502863,817.2875039,,,,,,,
367,3477,894,534,1457,252,342,6956,71.45331056,13973.11735,15331.38392,3801.993258,3502.175336,752.197271,,,,,,,
184,327,918,4710,74,334,11,6374,-1299.233157,19732.66277,10140.59745,4568.499046,11684.55392,366.8967375,,,,,,,
203,583,685,2216,469,954,18,4925,-919.9920299,15993.75433,13320.39962,4375.420667,4143.686378,466.5266518,,,,,,,
352,608,1106,1533,830,90,195,4362,-1124.896964,14921.32366,14228.73607,4086.617564,6550.319225,636.8137824,,,,,,,
299,444,879,2060,264,290,259,4196,-1130.636554,16204.03256,13572.78016,4719.210085,6657.634236,716.6454867,,,,,,,
327,542,899,1664,414,88,522,4129,-1147.833747,16152.29082,14114.62051,4737.157493,6536.547371,998.6383933,,,,,,,
275,680,1610,223,862,96,379,3850,-1077.329322,11879.43319,16148.56517,4278.815234,4090.260225,870.9744823,,,,,,,
131,2101,589,314,346,70,310,3730,-394.2312245,14487.70122,15607.07962,4923.84542,4120.491422,789.8419884,,,,,,,
355,190,727,2012,245,184,127,3485,-1222.37282,16416.52208,13533.02292,4634.069266,7109.197337,582.4095548,,,,,,,
98,503,112,778,895,56,132,2476,-1038.660395,16291.2372,14800.55035,4008.837577,4982.801521,608.5136756,,,,,,,
97,403,254,610,774,54,63,2158,-1065.074135,15545.50241,15063.0069,4110.569881,4822.454328,544.8124584,,,,,,,
154,622,55,137,75,7,8,904,-887.9906156,15213.06711,15619.32722,4920.767759,4271.960581,520.4342221,,,,,,,
