0.05 , 0.5 , 0.2 , 1 , 15.7, 15.7
0.05 , 0.5 , 1.0 , 1 , 16.2, 15.8 
0.05 , 0.5 , 5.0 , 1 , 15.9, 15.6 
0.1 , 0.5 , 0.2 , 1 , 16.0, 15.7 
0.1 , 0.5 , 1.0 , 1 , 15.2, 15.0 
0.1 , 0.5 , 5.0 , 1 , 21.4, 20.9 
0.15 , 0.5 , 0.2 , 1 , 14.0, 13.0 
0.15 , 0.5 , 1.0 , 1 , 19.6, 18.7 
0.15 , 0.5 , 5.0 , 1 , 12.6, 12.1 
0.05 , 0.25 , 0.2 , 1 , 17.0, 16.3 
0.05 , 0.25 , 1.0 , 1 , 15.1, 14.5 
0.05 , 0.25 , 5.0 , 1 , 19.2, 18.4 
0.1 , 0.25 , 0.2 , 1 , 20.6, 20.0 
0.1 , 0.25 , 1.0 , 1 , 13.9, 13.3 
0.1 , 0.25 , 5.0 , 1 , 18.4, 18.0 
0.15 , 0.25 , 0.2 , 1 , 14.8, 14.4 
0.15 , 0.25 , 1.0 , 1 , 18.9, 18.4 
0.15 , 0.25 , 5.0 , 1 , 18.2, 17.1 
0.05 , 0.75 , 0.2 , 1 , 31.0, 30.2 
0.05 , 0.75 , 1.0 , 1 , 15.9, 14.9 
0.05 , 0.75 , 5.0 , 1 , 22.2, 21.5 
0.1 , 0.75 , 0.2 , 1 , 17.7, 17.2 
0.1 , 0.75 , 1.0 , 1 , 18.7, 18.2 
0.1 , 0.75 , 5.0 , 1 , 14.1, 13.3 
0.15 , 0.75 , 0.2 , 1 , 26.7, 25.8 
0.15 , 0.75 , 1.0 , 1 , 21.5, 20.5 
0.15 , 0.75 , 5.0 , 1 , 23.5, 21.6 
0.05 , 0.5 , 0.2 , 2 , 15.1, 14.7 
0.05 , 0.5 , 1.0 , 2 , 19.0, 18.4 
0.05 , 0.5 , 5.0 , 2 , 19.3, 18.6 
0.1 , 0.5 , 0.2 , 2 , 12.2, 12.2 
0.1 , 0.5 , 1.0 , 2 , 14.6, 14.0 
0.1 , 0.5 , 5.0 , 2 , 17.1, 16.7 
0.15 , 0.5 , 0.2 , 2 , 14.4, 14.0 
0.15 , 0.5 , 1.0 , 2 , 10.2, 9.7 
0.15 , 0.5 , 5.0 , 2 , 16.0, 15.0 
0.05 , 0.25 , 0.2 , 2 , 14.3, 14.0 
0.05 , 0.25 , 1.0 , 2 , 14.1, 13.9 
0.05 , 0.25 , 5.0 , 2 , 12.2, 12.0 
0.1 , 0.25 , 0.2 , 2 , 14.6, 13.9 
0.1 , 0.25 , 1.0 , 2 , 17.9, 17.2 
0.1 , 0.25 , 5.0 , 2 , 14.4, 13.8 
0.15 , 0.25 , 0.2 , 2 , 12.9, 12.1 
0.15 , 0.25 , 1.0 , 2 , 16.0, 15.4 
0.15 , 0.25 , 5.0 , 2 , 14.3, 13.4 
0.05 , 0.75 , 0.2 , 2 , 24.0, 23.7 
0.05 , 0.75 , 1.0 , 2 , 22.3, 21.9 
0.05 , 0.75 , 5.0 , 2 , 21.4, 20.6 
0.1 , 0.75 , 0.2 , 2 , 21.3, 20.3 
0.1 , 0.75 , 1.0 , 2 , 20.3, 19.8 
0.1 , 0.75 , 5.0 , 2 , 19.3, 18.7 
0.15 , 0.75 , 0.2 , 2 , 13.7, 13.1 
0.15 , 0.75 , 1.0 , 2 , 20.5, 19.8 
0.15 , 0.75 , 5.0 , 2 , 26.2, 24.0 
0.05 , 0.5 , 0.2 , 3 , 17.4, 16.5 
0.05 , 0.5 , 1.0 , 3 , 13.8, 13.3 
0.05 , 0.5 , 5.0 , 3 , 13.8, 12.8 
0.1 , 0.5 , 0.2 , 3 , 13.9, 13.3 
0.1 , 0.5 , 1.0 , 3 , 15.7, 14.9 
0.1 , 0.5 , 5.0 , 3 , 19.4, 18.6 
0.15 , 0.5 , 0.2 , 3 , 16.9, 15.9 
0.15 , 0.5 , 1.0 , 3 , 13.3, 12.7 
0.15 , 0.5 , 5.0 , 3 , 17.9, 17.2 
0.05 , 0.25 , 0.2 , 3 , 15.8, 15.3 
0.05 , 0.25 , 1.0 , 3 , 12.7, 12.5 
0.05 , 0.25 , 5.0 , 3 , 18.7, 18.0 
0.1 , 0.25 , 0.2 , 3 , 14.2, 13.0 
0.1 , 0.25 , 1.0 , 3 , 13.9, 13.3 
0.1 , 0.25 , 5.0 , 3 , 15.6, 14.9 
0.15 , 0.25 , 0.2 , 3 , 19.0, 17.0 
0.15 , 0.25 , 1.0 , 3 , 18.5, 18.1 
0.15 , 0.25 , 5.0 , 3 , 16.8, 15.6 
0.05 , 0.75 , 0.2 , 3 , 17.3, 16.8 
0.05 , 0.75 , 1.0 , 3 , 24.2, 23.4 
0.05 , 0.75 , 5.0 , 3 , 24.5, 23.9 
0.1 , 0.75 , 0.2 , 3 , 26.3, 25.4 
0.1 , 0.75 , 1.0 , 3 , 20.5, 19.7 
0.1 , 0.75 , 5.0 , 3 , 25.6, 24.4 
0.15 , 0.75 , 0.2 , 3 , 17.9, 17.1 
0.15 , 0.75 , 1.0 , 3 , 24.3, 22.4 
0.15 , 0.75 , 5.0 , 3 , 17.5, 15.7 
0.05 , 0.5 , 0.2 , 6 , 22.2, 20.4 
0.05 , 0.5 , 1.0 , 6 , 19.9, 19.2 
0.05 , 0.5 , 5.0 , 6 , 20.4, 19.6 
0.1 , 0.5 , 0.2 , 6 , 22.8, 20.2 
0.1 , 0.5 , 1.0 , 6 , 20.0, 18.4 
0.1 , 0.5 , 5.0 , 6 , 22.2, 20.7 
0.15 , 0.5 , 0.2 , 6 , 24.0, 21.7 
0.15 , 0.5 , 1.0 , 6 , 17.9, 16.6 
0.15 , 0.5 , 5.0 , 6 , 25.3, 23.7 
0.05 , 0.25 , 0.2 , 6 , 19.0, 16.9 
0.05 , 0.25 , 1.0 , 6 , 17.2, 16.2 
0.05 , 0.25 , 5.0 , 6 , 17.4, 15.9 
0.1 , 0.25 , 0.2 , 6 , 26.2, 23.4 
0.1 , 0.25 , 1.0 , 6 , 25.0, 22.8 
0.1 , 0.25 , 5.0 , 6 , 19.0, 17.4 
0.15 , 0.25 , 0.2 , 6 , 23.5, 20.7 
0.15 , 0.25 , 1.0 , 6 , 23.5, 20.7 
0.15 , 0.25 , 5.0 , 6 , 22.0, 18.5 
0.05 , 0.75 , 0.2 , 6 , 21.1, 20.6 
0.05 , 0.75 , 1.0 , 6 , 14.7, 14.2 
0.05 , 0.75 , 5.0 , 6 , 19.3, 18.3 
0.1 , 0.75 , 0.2 , 6 , 14.0, 13.3 
0.1 , 0.75 , 1.0 , 6 , 15.7, 14.8 
0.1 , 0.75 , 5.0 , 6 , 13.9, 13.3 
0.15 , 0.75 , 0.2 , 6 , 18.0, 16.7 
0.15 , 0.75 , 1.0 , 6 , 13.5, 13.1 
0.15 , 0.75 , 5.0 , 6 , 20.3, 18.9 
0.05 , 0.5 , 0.2 , 8 , 22.4, 20.1 
0.05 , 0.5 , 1.0 , 8 , 20.7, 19.1 
0.05 , 0.5 , 5.0 , 8 , 28.1, 26.0 
0.1 , 0.5 , 0.2 , 8 , 26.3, 23.6 
0.1 , 0.5 , 1.0 , 8 , 15.9, 15.3 
0.1 , 0.5 , 5.0 , 8 , 26.3, 23.3 
0.15 , 0.5 , 0.2 , 8 , 25.6, 22.1 
0.15 , 0.5 , 1.0 , 8 , 20.2, 17.9 
0.15 , 0.5 , 5.0 , 8 , 17.9, 16.5 
0.05 , 0.25 , 0.2 , 8 , 20.8, 18.4 
0.05 , 0.25 , 1.0 , 8 , 21.2, 19.7 
0.05 , 0.25 , 5.0 , 8 , 18.9, 17.1 
0.1 , 0.25 , 0.2 , 8 , 24.6, 20.8 
0.1 , 0.25 , 1.0 , 8 , 21.8, 20.1 
0.1 , 0.25 , 5.0 , 8 , 20.7, 18.9 
0.15 , 0.25 , 0.2 , 8 , 26.9, 23.3 
0.15 , 0.25 , 1.0 , 8 , 20.6, 18.5 
0.15 , 0.25 , 5.0 , 8 , 24.3, 21.6 
0.05 , 0.75 , 0.2 , 8 , 16.2, 15.2 
0.05 , 0.75 , 1.0 , 8 , 17.5, 16.9 
0.05 , 0.75 , 5.0 , 8 , 19.8, 18.5 
0.1 , 0.75 , 0.2 , 8 , 18.8, 17.5 
0.1 , 0.75 , 1.0 , 8 , 12.5, 11.3 
